sample,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5_unsaturated_C30_sterol_M498_%,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%
6_B_78-80_EDGE,0.14709993,0.035173538,0.021779641,0.016189145,0.031330072,0.012462148,0.027486606,0.007104589,0.208595388,0.033077102,0.054390869,0.041812253,0.038201724,0.092476124,0.11029583,0,0.006289308,0.077801072,0.011180992,0.027253669
1_A_58-60_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
7_B_88-90_EDGE,0.151353083,0.033528441,0.013872901,0.022994809,0.049980453,0.007330104,0.015583259,0.006407054,0.145706188,0.011999652,0.024053602,0.087228243,0.040315575,0.039854049,0.071835024,0.004436071,0.015284625,0.196501097,0.02112156,0.040614208
8_A_88-90_EDGE,0.135692772,0.035065968,0.025297591,0.035316439,0.050563873,0.021290052,0.014777801,0.011740837,0.149844395,0.036067853,0.045898847,0.104634343,0.028334554,0.048184397,0.045335287,0.008572377,0.00854733,0.084440103,0.029743455,0.080651726
9_A_98-100_EDGE,0.349619246,0.043551233,0.042637477,0.037558067,0.114112024,0.032236781,0.025517986,0.008492558,0.093525634,0,0.072522679,0.014149783,0.016125109,0.024725168,0.008761309,0.015817389,0.022548278,0.012120707,0.014351347,0.051627225
1_B_18-20_EDGE,0.159153421,0.069544573,0.045832248,0.033816845,0.079012131,0.085844987,0.036422595,0.006398564,0.134659371,0,0.104490576,0.027968384,0.034859145,0.035090767,0.003271664,0.028489534,0.033208836,0.020209039,0.016734706,0.044992617
2_B_38-40_EDGE,0.205942744,0.068679049,0.027518822,0.046234453,0.035425173,0.016780345,0.026621982,0.008189564,0.16622218,0.026031956,0.040452196,0.040050978,0.033041467,0.071770787,0.073847679,0,0.005994666,0.051922305,0.010431663,0.044841991
3_A_48-50_EDGE,0.144091079,0.033554601,0.01751671,0.059194398,0.055549423,0.010768298,0.021182513,0.015413038,0.12682431,0.051987761,0.037199576,0.081897387,0.028868204,0.057903035,0.052237702,0.004880101,0.018516474,0.125428805,0.02082843,0.036158154
4_C_48-50_EDGE,0.359435173,0.053381792,0.037010486,0.020905923,0.052781621,0.11980061,0.023373289,0.009135922,0.069453012,0,0.061083974,0.026640882,0.023239918,0.039044396,0.005268159,0.028791491,0.037310571,0.005001417,0.01126986,0.017071504
5_C_90-93_EDGE+EXTRA,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
