age_BP_1950,.derivative,.se,.crit,.lower_ci,.upper_ci,d2H.C16.phytol.fitted,signif
9705.035856,-0.011458497,0.00515457,1.959963985,-0.021561269,-0.001355725,233.7003567,233.7003567
9769.422116,-0.011133322,0.004998829,1.959963985,-0.020930847,-0.001335797,232.9729694,232.9729694
9833.808377,-0.010806809,0.004926939,1.959963985,-0.020463432,-0.001150186,232.2665603,232.2665603
9898.194638,-0.01047655,0.004917301,1.959963985,-0.020114282,-0.000838818,231.5813026,231.5813026
9962.580899,-0.010145936,0.004949003,1.959963985,-0.019845804,-0.000446069,230.9173703,230.9173703
10026.96716,-0.009808655,0.004999781,1.959963985,-0.019608044,-9.27E-06,230.2749378,230.2749378
10091.35342,-0.009471999,0.005053922,1.959963985,-0.019377503,0.000433505,229.6541791,#NV
10155.73968,-0.009128223,0.005097169,1.959963985,-0.01911849,0.000862044,229.0552686,#NV
10220.12594,-0.008790068,0.005130294,1.959963985,-0.01884526,0.001265124,228.4783804,#NV
10284.5122,-0.00843926,0.005142719,1.959963985,-0.018518804,0.001640283,227.9236888,#NV
10348.89846,-0.008092165,0.005138228,1.959963985,-0.018162908,0.001978577,227.3913679,#NV
10413.28473,-0.007742588,0.005120786,1.959963985,-0.017779144,0.002293967,226.8815919,#NV
10477.67099,-0.007387386,0.005098142,1.959963985,-0.017379562,0.00260479,226.3945351,#NV
10542.05725,-0.007029485,0.005085215,1.959963985,-0.016996322,0.002937353,225.9303717,#NV
10606.44351,-0.006671265,0.00509598,1.959963985,-0.016659202,0.003316672,225.4892759,#NV
10670.82977,-0.006307634,0.005148962,1.959963985,-0.016399415,0.003784146,225.0714219,#NV
10735.21603,-0.005945598,0.005268732,1.959963985,-0.016272123,0.004380928,224.6769854,#NV
10799.60229,-0.005569147,0.005423723,1.959963985,-0.016199448,0.005061154,224.3063412,#NV
10863.98855,-0.005180059,0.005591237,1.959963985,-0.016138682,0.005778563,223.9602609,#NV
10928.37481,-0.004779515,0.005757306,1.959963985,-0.016063626,0.006504597,223.6395722,#NV
10992.76107,-0.004360652,0.005894222,1.959963985,-0.015913114,0.00719181,223.3451863,#NV
11057.14733,-0.003934155,0.005989438,1.959963985,-0.015673238,0.007804928,223.0780289,#NV
11121.5336,-0.003488659,0.006044557,1.959963985,-0.015335774,0.008358456,222.8390087,#NV
11185.91986,-0.003028277,0.00606615,1.959963985,-0.014917712,0.008861158,222.6290342,#NV
11250.30612,-0.002558792,0.006081558,1.959963985,-0.014478427,0.009360843,222.4490125,#NV
11314.69238,-0.002081956,0.006136694,1.959963985,-0.014109656,0.009945744,222.299585,#NV
11379.07864,-0.001603461,0.00623617,1.959963985,-0.01382613,0.010619207,222.1808324,#NV
11443.4649,-0.001128746,0.006358947,1.959963985,-0.013592053,0.011334561,222.0927645,#NV
11507.85116,-0.000652146,0.006502322,1.959963985,-0.013396464,0.012092172,222.035391,#NV
11572.23742,-0.000177359,0.006655303,1.959963985,-0.013221514,0.012866795,222.0087214,#NV
11636.62368,0.000297881,0.006816013,1.959963985,-0.01306126,0.013657021,222.0127656,#NV
11701.00994,0.000777017,0.006994518,1.959963985,-0.012931986,0.014486019,222.0475331,#NV
11765.3962,0.001254804,0.007188829,1.959963985,-0.012835041,0.015344649,222.1130337,#NV
11829.78247,0.001735323,0.007412628,1.959963985,-0.012793161,0.016263806,222.209277,#NV
11894.16873,0.002209567,0.007666251,1.959963985,-0.01281601,0.017235143,222.3362037,#NV
11958.55499,0.002660301,0.007913646,1.959963985,-0.012850161,0.018170762,222.4930151,#NV
12022.94125,0.003090661,0.008145978,1.959963985,-0.012875163,0.019056485,222.678464,#NV
12087.32751,0.003511155,0.008367976,1.959963985,-0.012889777,0.019912086,222.8912966,#NV
12151.71377,0.003916757,0.008592592,1.959963985,-0.012924414,0.020757928,223.1302595,#NV
12216.10003,0.00427874,0.008831197,1.959963985,-0.013030087,0.021587567,223.3939652,#NV
12280.48629,0.004611555,0.00910083,1.959963985,-0.013225744,0.022448854,223.6804397,#NV
12344.87255,0.004915247,0.009401062,1.959963985,-0.013510497,0.02334099,223.9873248,#NV
12409.25881,0.005165877,0.009713281,1.959963985,-0.013871804,0.024203558,224.3119306,#NV
12473.64508,0.005378824,0.010025435,1.959963985,-0.014270668,0.025028315,224.6515418,#NV
12538.03134,0.00554699,0.010317577,1.959963985,-0.014675091,0.02576907,225.0035298,#NV
12602.4176,0.005686991,0.010569992,1.959963985,-0.015029814,0.026403796,225.3654087,#NV
12666.80386,0.005779091,0.010756811,1.959963985,-0.015303872,0.026862054,225.7347058,#NV
12731.19012,0.005832244,0.010874786,1.959963985,-0.015481946,0.027146433,226.1089483,#NV
12795.57638,0.005861338,0.01091729,1.959963985,-0.015536156,0.027258833,226.4856635,#NV
