XRF_TrueSurface,age_BP_1950,RABD_660670,RABD_660670norm,RABD_671,RABD_715,RABD_845,RABD_620,RMean,TChl_ug_gsed,TChl_ug_gTOC
91.3,535.79439,1.114218876,6.720414494,1.033505955,0.996582685,0.99685618,1.008204607,0.151103933,40.46986609,980.1847048
91.8,544.86724,1.113090899,6.60700809,1.03314,0.995849921,0.996684753,1.010419551,0.153481674,40.07914823,950.0805554
92.3,553.94009,1.105552697,6.661440674,1.030137753,0.996670607,0.996786393,1.010321124,0.151531944,37.46800556,869.690487
92.8,563.01294,1.110252333,6.612152444,1.031751667,0.996250289,0.996841889,1.010396556,0.1531022,39.09590324,888.9675354
93.3,572.08579,1.115396404,6.681113596,1.032591236,0.996880112,0.997029764,1.008368989,0.152101236,40.87774767,910.9044405
93.8,581.15864,1.116531011,6.76692618,1.031852697,0.996058685,0.997035371,1.008876742,0.150651056,41.27076181,901.6398709
94.3,590.23149,1.121211124,6.814563933,1.035550449,0.995902337,0.99665136,1.010214157,0.149753674,42.8918965,919.0464217
94.8,599.30434,1.125084719,7.038837865,1.035315506,0.99675436,0.996917191,1.010192697,0.144651371,44.23366343,929.9233382
95.3,608.37719,1.12018618,7.003663034,1.032567865,0.997653315,0.996596506,1.008762719,0.145337337,42.53686827,877.7003192
95.8,617.45004,1.123791461,6.912081348,1.034344944,0.996195742,0.996792034,1.008016258,0.147524809,43.78569425,887.050389
96.3,626.52289,1.118810899,6.772418764,1.03261573,0.99687182,0.996788371,1.007692584,0.149809978,42.0604875,836.8913904
96.8,635.59574,1.116739889,6.741660111,1.031701556,0.997007989,0.996276089,1.007549889,0.150376244,41.34311452,808.1930314
97.3,644.66859,1.117567528,6.696606742,1.031418876,0.996109472,0.996456562,1.007790899,0.151816494,41.6297988,799.7732806
97.8,653.74144,1.119951685,6.913594607,1.033190674,0.996576292,0.996652337,1.008006517,0.147413371,42.45564224,801.8214176
98.3,662.81429,1.117947191,6.811593371,1.032766966,0.996721921,0.996645337,1.00760736,0.148905461,41.76130947,775.5693918
98.8,671.88714,1.11165573,6.875980112,1.030857978,0.996494213,0.996312461,1.00699327,0.147226697,39.58202309,723.0517708
99.3,680.95999,1.110432809,6.709209213,1.030079101,0.997145348,0.996489854,1.006703472,0.151019831,39.15841783,703.7817726
99.8,690.03284,1.11808236,6.869752697,1.032575393,0.99677091,0.99650491,1.007575955,0.148251045,41.80813023,739.4826438
100.3,697.06743,1.113350899,6.94203236,1.031221011,0.997569461,0.99662291,1.007805438,0.145932056,40.16920911,699.397728
