age_BP_1950,.fitted,.se,.lower_ci,.upper_ci
9447.490812,236.8233754,5.888381679,225.2823594,248.3643914
9511.877073,236.009838,5.969120838,224.3105762,247.7090999
9576.263334,235.2184184,6.051117759,223.3584455,247.0783913
9640.649595,234.4487226,6.132705833,222.42884,246.4686052
9705.035856,233.7003567,6.21129321,221.5264457,245.8742677
9769.422116,232.9729694,6.283887584,220.656776,245.2891627
9833.808377,232.2665603,6.349377488,219.8220091,244.7111115
9898.194638,231.5813026,6.408190147,219.0214807,244.1411245
9962.580899,230.9173703,6.46122446,218.2536031,243.5811376
10026.96716,230.2749378,6.509582736,217.51639,243.0334855
10091.35342,229.6541791,6.554365571,216.8078587,242.5004996
10155.73968,229.0552686,6.596516634,216.1263336,241.9842036
10220.12594,228.4783804,6.636713073,215.4706618,241.486099
10284.5122,227.9236888,6.67529921,214.8403427,241.0070348
10348.89846,227.3913679,6.712262055,214.235576,240.5471597
10413.28473,226.8815919,6.747247306,213.6572302,240.1059536
10477.67099,226.3945351,6.779614316,213.1067353,239.682335
10542.05725,225.9303717,6.808528366,212.5859014,239.2748421
10606.44351,225.4892759,6.833088915,212.0966677,238.8818841
10670.82977,225.0714219,6.852493387,211.6407817,238.5020621
10735.21603,224.6769854,6.866240758,211.2194008,238.13457
10799.60229,224.3063412,6.874728752,210.8321204,237.7805619
10863.98855,223.9602609,6.879423135,210.4768393,237.4436825
10928.37481,223.6395722,6.881831955,210.1514294,237.1277149
10992.76107,223.3451863,6.883683467,209.8534146,236.836958
11057.14733,223.0780289,6.886801921,209.5801452,236.5759126
11121.5336,222.8390087,6.892451204,209.3300525,236.3479648
11185.91986,222.6290342,6.901072137,209.1031813,236.154887
11250.30612,222.4490125,6.91239867,208.9009601,235.997065
11314.69238,222.299585,6.92631946,208.7242483,235.8749217
11379.07864,222.1808324,6.944037469,208.5707691,235.7908958
11443.4649,222.0927645,6.967198384,208.4373066,235.7482225
11507.85116,222.035391,6.997576662,208.3203927,235.7503892
11572.23742,222.0087214,7.036943351,208.2165659,235.800877
11636.62368,222.0127656,7.086986849,208.1225266,235.9030045
11701.00994,222.0475331,7.14928709,208.0351879,236.0598783
11765.3962,222.1130337,7.22534246,207.9516227,236.2744447
11829.78247,222.209277,7.316646598,207.8689132,236.5496408
11894.16873,222.3362037,7.424884227,207.7836981,236.8887094
11958.55499,222.4930151,7.552620193,207.6901516,237.2958787
12022.94125,222.678464,7.702437011,207.5819648,237.7749631
12087.32751,222.8912966,7.876184669,207.4542583,238.3283349
12151.71377,223.1302595,8.075010989,207.3035288,238.9569902
12216.10003,223.3939652,8.299659033,207.1269325,239.660998
12280.48629,223.6804397,8.551025018,206.9207387,240.4401408
12344.87255,223.9873248,8.830226523,206.6803989,241.2942508
12409.25881,224.3119306,9.138555781,206.4006904,242.2231708
12473.64508,224.6515418,9.477000359,206.0769624,243.2261212
12538.03134,225.0035298,9.846200134,205.7053322,244.3017274
12602.4176,225.3654087,10.24626915,205.2830902,245.4477272
12666.80386,225.7347058,10.67634196,204.80946,246.6599515
12731.19012,226.1089483,11.13449278,204.2857434,247.9321531
12795.57638,226.4856635,11.61780062,203.7151927,249.2561342
